rank,hub,url,title
1,0.09791327,https://farhangi.sharif.ir/fa/w/%D9%87%D8%B1%DA%86%D9%87-%D8%AA%D8%A8%D8%B1-%D8%B2%D8%AF%DB%8C-%D9%85%D8%B1%D8%A7%D8%8C-%D8%B2%D8%AE%D9%85-%D9%86%D8%B4%D8%AF-%D8%AC%D9%88%D8%A7%D9%86%D9%87-%D8%B4%D8%AF-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D8%A7?redirect=%2F,هرچه تبر زدی مرا، زخم نشد جوانه شد | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
2,0.09791327,https://farhangi.sharif.ir/fa/w/%D8%A7%DB%8C%D9%86-%D8%AF%D8%A7%D8%BA-%D9%85%D8%B4%D8%AA%D8%B1%DA%A9-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B5%D9%86%D8%B9?redirect=%2F,این داغ مشترک | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
3,0.09791327,https://farhangi.sharif.ir/fa/w/%D8%A8%D8%AF%D8%B1%D9%88%D8%AF-%D8%A2%D9%82%D8%A7-%D9%85%D8%B1%D8%AA%D8%B6%DB%8C-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B5?redirect=%2F,بدرود آقا مرتضی | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
4,0.09791327,https://farhangi.sharif.ir/fa/w/%DA%A9%D9%87-%D8%AC%D8%A7%D9%86-%D9%85%D9%86-%D9%81%D8%AF%D8%A7%DB%8C-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF?redirect=%2F,که جان من فدای ایران | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
5,0.09789863,https://farhangi.sharif.ir/fa/w/%D8%B3%D8%A7%D9%84%D8%B1%D9%88%D8%B2-%D8%B4%D9%87%D8%A7%D8%AF%D8%AA-%D8%AD%D8%B6%D8%B1%D8%AA-%D8%B4%DB%8C%D8%AE-%D8%A7%D9%84%D8%A7%D8%A6%D9%85%D9%87%D8%9B-%D8%A7%D9%85%D8%A7%D9%85-%D8%B5%D8%A7%D8%AF%D9%82-%D8%B9%D9%84%DB%8C%D9%87%E2%80%8C%D8%A7%D9%84?redirect=%2F,سالروز شهادت حضرت شیخ الائمه؛ امام صادق علیه‌السلام تسلیت باد | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
6,0.09789863,https://farhangi.sharif.ir/fa/w/%D8%B1%D9%88%D8%AD-%D9%85%D9%84%DA%A9%D9%88%D8%AA%DB%8C-%D8%B3%DB%8C%D8%AF-%D9%88-%D8%B3%D8%A7%D9%84%D8%A7%D8%B1-%D8%B4%D9%87%DB%8C%D8%AF%D8%A7%D9%86-%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%D8%8C-%D8%A7%D9%85%D8%A7%D9%85-%D8%AE%D8%A7%D9%85%D9%86%D9%87?redirect=%2F,روح ملکوتی سید و سالار شهیدان انقلاب، امام خامنه‌ای (قدس‌سره) به ملکوت اعلی پیوست | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
7,0.09789863,https://farhangi.sharif.ir/fa/w/%D8%B3%D8%B1%D9%88-%D9%85%DB%8C%E2%80%8C%D9%85%D8%A7%D9%86%D8%AF-%D9%88%D9%84%DB%8C-%D8%B7%D9%88%D9%81%D8%A7%D9%86-%D8%A8%D9%87-%D9%BE%D8%A7%DB%8C%D8%A7%D9%86-%D9%85%DB%8C%E2%80%8C%D8%B1%D8%B3%D8%AF-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%81%D8%B1?redirect=%2F,سرو می‌ماند ولی طوفان به پایان می‌رسد | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
8,0.09789863,https://farhangi.sharif.ir/fa/w/%D8%A8%D9%87%D8%B1%D9%87%E2%80%8C%D9%85%D9%86%D8%AF%D9%86%D8%AF-%D8%AF%D8%B1%D8%AE%D8%AA%D8%A7%D9%86-%D8%A8%D8%B1%D9%87%D9%86%D9%87-%D8%A8%D9%87-%D8%A8%D9%87%D8%A7%D8%B1-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D8%A7?redirect=%2F,بهره‌مندند درختان برهنه به بهار | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
9,0.09789863,https://farhangi.sharif.ir/fa/w/%D8%B9%DB%8C%D8%AF-%D8%B3%D8%B9%DB%8C%D8%AF-%D9%81%D8%B7%D8%B1-%D9%88-%D8%B9%DB%8C%D8%AF-%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%DB%8C-%D9%86%D9%88%D8%B1%D9%88%D8%B2-%D9%85%D8%A8%D8%A7%D8%B1%DA%A9-%D8%A8%D8%A7%D8%AF-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-?redirect=%2F,عید سعید فطر و عید باستانی نوروز مبارک باد | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
10,0.09789863,https://farhangi.sharif.ir/fa/w/%D8%B4%D8%B1%DB%8C%D9%81-%D9%87%D9%85%DB%8C%D8%B4%D9%87-%D8%B3%D8%B1%D8%A8%D9%84%D9%86%D8%AF-%D8%AE%D9%88%D8%A7%D9%87%D8%AF-%D8%A8%D9%88%D8%AF-%7C-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7?redirect=%2F,شریف همیشه سربلند خواهد بود | معاونت فرهنگی اجتماعی دانشگاه صنعتی شریف - معاونت فرهنگی و اجتماعی
