rank,in_degree,url,title
1,878,http://www.sharif.ir/,
2,490,http://library.sharif.ir/home,
3,400,https://www.sharif.ir/disclaimer,سلب مسئولیت - دانشگاه صنعتی شریف
4,304,http://en.sharif.ir/,
5,267,https://en.sharif.ir/en/research,Research - Sharif University of Technology
6,267,https://en.sharif.ir/en/departments,Departments - Sharif University of Technology
7,267,https://en.sharif.ir/en/international,International - Sharif University of Technology
8,267,https://en.sharif.ir/en/courses,Courses - Sharif University of Technology
9,267,https://en.sharif.ir/en/admission,Admission & Fee - Sharif University of Technology
10,267,https://en.sharif.ir/en/facts-figures,Facts & Figures - Sharif University of Technology
