rank,pagerank,url,title
1,0.00782558,https://www.sharif.ir/disclaimer,سلب مسئولیت - دانشگاه صنعتی شریف
2,0.00586254,http://www.sharif.ir/,
3,0.00421165,https://news.sharif.ir/fa/%D8%B3%D8%A7%DB%8C%D8%B1-%D9%85%D9%88%D8%B6%D9%88%D8%B9%D8%A7%D8%AA,سایر موضوعات - پرتال خبری دانشگاه صنعتی شریف
4,0.00415462,https://news.sharif.ir/fa/%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C-%D9%88-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C,فرهنگی و اجتماعی - پرتال خبری دانشگاه صنعتی شریف
5,0.00415462,https://news.sharif.ir/fa/%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C-%D9%88-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86%DB%8C,اداری و سازمانی - پرتال خبری دانشگاه صنعتی شریف
6,0.00408095,https://news.sharif.ir/fa/%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C,آموزشی - پرتال خبری دانشگاه صنعتی شریف
7,0.00408095,https://news.sharif.ir/fa/%D8%AF%D8%A7%D9%86%D8%B4%D8%AC%D9%88%DB%8C%DB%8C,دانشجویی - پرتال خبری دانشگاه صنعتی شریف
8,0.00398589,http://library.sharif.ir/home,
9,0.00269049,https://news.sharif.ir/fa/,صفحه اصلی - پرتال خبری دانشگاه صنعتی شریف
10,0.00229735,http://en.sharif.ir/,
